Id,Price
725,164367.953029879
15856,212247.2509980977
5480,210550.0904116149
15664,362256.2987165602
14275,141472.81836676772
7633,203499.04834192456
13329,168359.51626673536
5502,215229.37357459666
4220,311009.81094661576
11538,215237.17370315842
15975,269889.4520728452
3310,216827.30039880448
9286,147530.47930084064
11260,195623.26536324725
5214,107357.43052709184
11307,182507.65406317622
13543,372608.358976855
615,174211.09180503443
3495,222647.928573963
2321,240475.49379826887
12046,183570.21177894957
16688,147365.60292584752
12694,222388.4990494215
783,156095.08898790003
8968,162472.03931170236
13454,180133.12544278038
12190,269774.93894554453
11160,113386.86642558951
10291,196837.93996950626
891,277150.01066165144
2982,181625.09506071106
3818,264838.71908365394
2449,194540.58802256666
8317,170026.70292207907
4922,175612.8816229817
1257,240274.10006999227
9348,218908.22328171664
4176,190310.76673931512
10704,173829.45677353433
6624,114747.64821548213
5428,188465.79038436754
12749,185947.37784929908
8994,216489.9238920858
11513,142732.76267044045
3047,202140.75951807536
9519,215350.83743624043
12309,222606.87963358036
14081,253178.17822179527
8334,245795.99192249306
6343,173188.03156099393
14788,129990.2282135911
15748,407213.58095162176
153,251233.67138947957
14149,183653.278618681
269,194055.84459949244
5452,134645.9334612634
721,158110.2031431545
5079,343375.1633479942
2831,119314.59283562492
10614,113288.02042628099
10131,270202.4970111789
9996,292118.41705209954
3061,188804.19489442688
11733,349294.0334649081
3726,242815.65630173593
10929,210445.73271994264
9011,276501.2356452115
16182,294394.8782976087
4976,180917.7426991396
9897,235411.80378200312
1872,150623.95324529597
9205,396310.4389787104
5403,403447.307560503
14074,200902.52156323657
6268,151375.4310283784
14232,178289.10211796922
8532,243608.20868295192
7034,329939.36777061946
6553,491407.4733182843
3133,175622.36101911095
8596,197223.13429845788
12389,238608.42889187534
14462,179361.9672394424
8860,324895.6528984672
8377,273763.63234642555
6367,313949.4973411344
6917,246214.36082924515
4216,193456.26750333112
5806,174475.5285066978
5438,186080.34984423395
6632,194037.27339201648
2650,160435.18276840486
5396,224346.03739340085
4044,149482.09610417494
1345,209643.62348524184
856,164229.7687847513
12791,254146.46550358276
12499,216106.5904412972
12249,128480.98360884833
14641,139520.95246017727
1919,171764.26910327066
7848,196619.27530423214
10749,182625.43741449874
15554,187972.1230166384
15834,173046.96940540252
1355,173898.57739483065
15451,174363.41197785473
12401,208997.42680479563
10290,171344.77925384848
9462,120617.59380660481
3103,236853.5372794151
3420,134863.7946649788
12262,238395.49592633863
5032,142178.14527171414
8949,293108.00453431293
15567,230910.61739826377
16389,167410.05406350354
7809,86866.86167280999
8990,154753.51207174576
16089,254407.25054521876
12743,106159.7777142346
5132,127028.41556983911
1619,279755.34596905584
2428,87926.93937170858
16741,172306.3038630543
13193,225069.9462629066
12588,535902.1941551073
5067,171618.1949734915
14685,127246.04538266666
2292,177115.46077799783
5746,125532.90510698639
12578,166298.77708280255
14834,162605.23968072687
2147,174733.09901334927
8222,130861.87474305453
10419,263025.6837661806
11492,210674.47627079874
3006,208712.93778122496
8761,198520.8333866748
15371,334649.00759906805
16367,163912.6138098542
6317,272977.30551828555
10878,274505.82471594634
3895,164839.5586481982
8041,191401.4342218027
13428,457504.6435812993
14669,164997.34554098183
1006,178828.71257543453
12271,180182.04533310462
3764,394443.86112864135
7675,194614.21403188963
11709,277362.2062781533
8629,156565.5705319263
1105,390291.47594867356
6096,176686.60756951562
11727,214048.00055702473
5157,201160.2292038568
3679,152160.10347336656
1755,143224.2349127059
7391,156200.01462531122
7425,100794.10250896186
6882,396337.4232234297
10752,360395.21836660383
7472,195005.78257373392
14320,103948.11760925205
9596,153652.13109592436
5317,214202.31022302207
7378,90821.73813919615
16154,181482.8321114594
3464,196336.49227432162
4197,236544.82194115993
9477,119883.5768129161
12705,196605.80109254838
16426,204973.36683841265
1481,66757.08879405778
9946,239190.98899884147
12025,209632.17571330082
5341,251178.95466820308
9923,323547.3874399428
7953,283511.2458971496
11066,272519.5621369286
5037,169688.88648185658
2509,187422.2071672106
4937,341262.69205756305
12089,392086.3707178149
4964,164587.4091947669
16500,262352.57676126756
4625,153610.9293136815
2363,388219.2668381933
8148,181710.92668522586
3804,178875.81430214786
4584,162263.92962553175
10694,108779.86718859151
2691,172654.54297964717
2983,223161.5151699803
13563,375480.9919881735
10747,217549.51424826644
1721,203359.7908133633
2789,256813.24560153508
7214,251152.32125302366
8659,227941.6684685484
5107,311600.76262132864
3843,226171.76975313187
14610,385119.89311107947
15505,171086.4425541092
5060,261536.51964288778
16055,237601.7530333235
14963,185300.3016998824
4118,147714.90923721268
1672,185185.01869228898
3209,184772.60409326997
16515,145219.95927675773
973,174846.14674780134
12529,186743.01642869675
5896,123206.2953019763
5450,262995.52121536405
3249,164185.85089280864
8911,181257.87935851232
5898,225680.00485887393
1024,179473.49038879285
4766,202954.41459082052
15804,185364.32357663958
14303,193552.6997153384
